"Sample Collection Date","Site Name","County","PCR Pathogen Target","PCR Gene Target","Normalized Pathogen Concentration (gene copies/person/day)","Date/Time Updated"
2023-11-27 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-11-28 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-11-30 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-12-04 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-12-06 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-12-08 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-12-11 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-12-13 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-12-15 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",438244454.696319,2024-04-10 09:07:19
2023-12-18 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-12-20 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",324806578.680618,2024-04-10 09:07:19
2023-12-22 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",712041408.329835,2024-04-10 09:07:19
2023-12-27 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",541851022.892868,2024-04-10 09:07:19
2023-12-29 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",288025906.350657,2024-04-10 09:07:19
2024-01-03 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",228665199.478817,2024-04-10 09:07:19
2024-01-05 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",65078780.639847,2024-04-10 09:07:19
2024-01-08 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-01-10 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",219918998.23807,2024-04-10 09:07:19
2024-01-12 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",195245733.504922,2024-04-10 09:07:19
2024-01-17 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",73703620.1698019,2024-04-10 09:07:19
2024-01-19 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",72403516.3726244,2024-04-10 09:07:19
2024-01-22 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-01-24 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-01-26 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-01-29 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-01-31 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-02-02 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-02-05 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-02-07 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-02-09 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-02-12 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-02-14 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",412051594.583012,2024-04-10 09:07:19
2024-02-16 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-02-21 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-02-23 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-02-26 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-02-28 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-01 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-04 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-06 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-08 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-11 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-13 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-15 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-18 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-20 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-22 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-25 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-27 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-03-29 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-04-01 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-04-03 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2024-04-04 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-08-21 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-08-23 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-08-25 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-08-28 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-08-30 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-09-01 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-09-06 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-09-08 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-09-11 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-09-13 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-09-15 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
